year,game_pk,game_date,game_datetime,status_code,status_description,home_team_id,home_team_name,away_team_id,away_team_name,venue_id,venue_name,game_type,season,season_display,home_score,away_score,winning_team_id,losing_team_id
2015,415307,2015-08-09,2015-08-09T19:37:00Z,F,Final,108,Los Angeles Angels,110,Baltimore Orioles,1,Angel Stadium of Anaheim,R,2015,2015,5.0,4.0,108.0,110.0
2015,415319,2015-08-09,2015-08-09T18:10:00Z,F,Final,158,Milwaukee Brewers,138,St. Louis Cardinals,32,Miller Park,R,2015,2015,5.0,4.0,158.0,138.0
2015,415301,2015-08-08,2015-08-08T22:10:00Z,F,Final,139,Tampa Bay Rays,121,New York Mets,12,Tropicana Field,R,2015,2015,5.0,4.0,139.0,121.0
2015,415296,2015-08-08,2015-08-08T23:05:00Z,F,Final,120,Washington Nationals,115,Colorado Rockies,3309,Nationals Park,R,2015,2015,6.0,1.0,120.0,115.0
2015,415293,2015-08-08,2015-08-08T23:08:00Z,F,Final,116,Detroit Tigers,111,Boston Red Sox,2394,Comerica Park,R,2015,2015,7.0,6.0,116.0,111.0
2015,415300,2015-08-08,2015-08-08T23:10:00Z,F,Final,114,Cleveland Indians,142,Minnesota Twins,5,Progressive Field,R,2015,2015,17.0,4.0,114.0,142.0
2015,415294,2015-08-08,2015-08-08T23:10:00Z,F,Final,118,Kansas City Royals,145,Chicago White Sox,7,Kauffman Stadium,R,2015,2015,7.0,6.0,118.0,145.0
2015,415299,2015-08-08,2015-08-08T23:10:00Z,F,Final,144,Atlanta Braves,146,Miami Marlins,16,Turner Field,R,2015,2015,7.0,2.0,144.0,146.0
2015,415304,2015-08-08,2015-08-08T23:10:00Z,F,Final,158,Milwaukee Brewers,138,St. Louis Cardinals,32,Miller Park,R,2015,2015,0.0,3.0,138.0,158.0
2015,415318,2015-08-09,2015-08-09T18:20:00Z,F,Final,112,Chicago Cubs,137,San Francisco Giants,17,Wrigley Field,R,2015,2015,2.0,0.0,112.0,137.0
2015,415295,2015-08-08,2015-08-09T00:10:00Z,F,Final,109,Arizona Diamondbacks,113,Cincinnati Reds,15,Chase Field,R,2015,2015,1.0,4.0,113.0,109.0
2015,415292,2015-08-08,2015-08-09T01:05:00Z,F,Final,108,Los Angeles Angels,110,Baltimore Orioles,1,Angel Stadium of Anaheim,R,2015,2015,0.0,5.0,110.0,108.0
2015,415321,2015-08-09,2015-08-09T17:05:00Z,F,Final,147,New York Yankees,141,Toronto Blue Jays,3313,Yankee Stadium,R,2015,2015,0.0,2.0,141.0,147.0
2015,415308,2015-08-09,2015-08-09T17:08:00Z,F,Final,116,Detroit Tigers,111,Boston Red Sox,2394,Comerica Park,R,2015,2015,2.0,7.0,111.0,116.0
2015,415316,2015-08-09,2015-08-09T17:10:00Z,F,Final,139,Tampa Bay Rays,121,New York Mets,12,Tropicana Field,R,2015,2015,4.0,3.0,139.0,121.0
2015,415315,2015-08-09,2015-08-09T17:10:00Z,F,Final,114,Cleveland Indians,142,Minnesota Twins,5,Progressive Field,R,2015,2015,8.0,1.0,114.0,142.0
2015,415311,2015-08-09,2015-08-09T17:35:00Z,F,Final,120,Washington Nationals,115,Colorado Rockies,3309,Nationals Park,R,2015,2015,4.0,6.0,115.0,120.0
2015,415309,2015-08-09,2015-08-09T18:10:00Z,F,Final,118,Kansas City Royals,145,Chicago White Sox,7,Kauffman Stadium,R,2015,2015,5.0,4.0,118.0,145.0
2015,415302,2015-08-08,2015-08-09T00:40:00Z,F,Final,135,San Diego Padres,143,Philadelphia Phillies,2680,Petco Park,R,2015,2015,2.0,4.0,143.0,135.0
2015,415338,2015-08-11,2015-08-11T23:10:00Z,F,Final,114,Cleveland Indians,147,New York Yankees,5,Progressive Field,R,2015,2015,5.0,4.0,114.0,147.0
2015,415253,2015-08-05,2015-08-05T19:35:00Z,F,Final,133,Oakland Athletics,110,Baltimore Orioles,10,O.co Coliseum,R,2015,2015,3.0,7.0,110.0,133.0
2015,415263,2015-08-05,2015-08-05T19:10:00Z,F,Final,115,Colorado Rockies,136,Seattle Mariners,19,Coors Field,R,2015,2015,7.0,5.0,115.0,136.0
2015,415209,2015-08-01,2015-08-01T17:35:00Z,F,Final,111,Boston Red Sox,139,Tampa Bay Rays,3,Fenway Park,R,2015,2015,11.0,7.0,111.0,139.0
