year,team_id,team_name,division_id,division_name,league_id,league_name,wins,losses,pct,games_back,wild_card_games_back,division_rank,league_rank,sport_rank,runs_scored,runs_allowed,run_differential,streak_type,streak_number,streak_code,last_updated
2024,140,Texas Rangers,200,Unknown Division,103,Unknown League,78,84,0.481,10.5,8.0,3,11,21,683,738,-55,wins,3,W3,2025-05-13T20:54:47Z
2024,133,Oakland Athletics,200,Unknown Division,103,Unknown League,69,93,0.426,19.5,17.0,4,13,26,643,764,-121,losses,3,L3,2024-11-12T17:42:51Z
2024,108,Los Angeles Angels,200,Unknown Division,103,Unknown League,63,99,0.389,25.5,23.0,5,14,27,635,797,-162,losses,6,L6,2025-04-14T19:19:10Z
2024,143,Philadelphia Phillies,204,Unknown Division,104,Unknown League,95,67,0.586,-,-,1,2,2,784,671,113,wins,1,W1,2025-04-17T19:10:45Z
2024,144,Atlanta Braves,204,Unknown Division,104,Unknown League,89,73,0.549,6.0,-,2,6,9,704,607,97,wins,1,W1,2025-07-15T13:37:45Z
2024,121,New York Mets,204,Unknown Division,104,Unknown League,89,73,0.549,6.0,-,3,7,10,768,697,71,losses,1,L1,2025-04-17T19:10:52Z
2024,120,Washington Nationals,204,Unknown Division,104,Unknown League,71,91,0.438,24.0,18.0,4,13,25,660,764,-104,losses,1,L1,2025-04-16T00:36:55Z
2024,146,Miami Marlins,204,Unknown Division,104,Unknown League,62,100,0.383,33.0,27.0,5,14,28,637,841,-204,wins,4,W4,2025-04-16T18:21:33Z
2024,158,Milwaukee Brewers,205,Unknown Division,104,Unknown League,93,69,0.574,-,-,1,3,4,777,641,136,losses,1,L1,2025-04-14T19:19:18Z
2024,112,Chicago Cubs,205,Unknown Division,104,Unknown League,83,79,0.512,10.0,6.0,2,8,15,736,669,67,losses,1,L1,2025-04-15T05:57:42Z
2024,138,St. Louis Cardinals,205,Unknown Division,104,Unknown League,83,79,0.512,10.0,6.0,3,9,16,672,719,-47,wins,1,W1,2025-04-16T00:37:03Z
2024,113,Cincinnati Reds,205,Unknown Division,104,Unknown League,77,85,0.475,16.0,12.0,4,11,22,699,694,5,wins,1,W1,2025-02-12T18:19:46Z
2024,134,Pittsburgh Pirates,205,Unknown Division,104,Unknown League,76,86,0.469,17.0,13.0,5,12,23,665,739,-74,losses,1,L1,2025-04-24T18:00:45Z
2024,119,Los Angeles Dodgers,203,Unknown Division,104,Unknown League,98,64,0.605,-,-,1,1,1,842,686,156,wins,5,W5,2025-06-25T16:17:49Z
2024,135,San Diego Padres,203,Unknown Division,104,Unknown League,93,69,0.574,5.0,+4.0,2,4,5,760,669,91,losses,1,L1,2025-01-29T00:47:50Z
2024,109,Arizona Diamondbacks,203,Unknown Division,104,Unknown League,89,73,0.549,9.0,-,3,5,8,886,788,98,wins,1,W1,2025-07-15T13:37:52Z
2024,137,San Francisco Giants,203,Unknown Division,104,Unknown League,80,82,0.494,18.0,9.0,4,10,19,693,699,-6,losses,1,L1,2025-04-24T18:00:53Z
2024,115,Colorado Rockies,203,Unknown Division,104,Unknown League,61,101,0.377,37.0,28.0,5,15,29,682,929,-247,losses,3,L3,2025-03-25T00:00:30Z
